"","playerID","age_season","total_games","prev_year_games"
"210","arandjo01",25,34,32
"211","arauzjo01",22,27,NA
"212","arauzjo01",23,15,27
"213","arauzjo01",24,27,15
"214","arciafr01",28,38,NA
"215","arciaor01",21,55,NA
"216","arciaor01",22,153,55
"217","arciaor01",23,119,153
"218","arciaor01",24,152,119
"219","arciaor01",26,36,152
"220","arciaor01",27,66,36
"221","arciaor01",28,139,66
"222","arciaos01",24,19,NA
"223","arciaos01",25,69,19
"224","arenano01",24,157,NA
"225","arenano01",25,160,157
"226","arenano01",26,159,160
"227","arenano01",27,156,159
"228","arenano01",28,155,156
"229","arenano01",30,157,155
"230","arenano01",31,148,157
"231","arenano01",32,144,148
"232","arencjp01",29,24,NA
"233","ariasga01",22,16,NA
"234","ariasga01",23,122,16
"235","ariasjo01",30,40,NA
"236","arozara01",24,19,NA
"237","arozara01",26,141,19
"238","arozara01",27,153,141
"239","arozara01",28,151,153
"240","arraelu01",22,92,NA
"241","arraelu01",24,121,92
"242","arraelu01",25,144,121
"243","arraelu01",26,147,144
"244","arroych01",22,34,NA
"245","arroych01",23,20,34
"246","arroych01",24,16,20
"247","arroych01",26,56,16
"248","arroych01",27,87,56
"249","arroych01",28,66,87
"250","arteahu01",25,40,NA
"251","arteahu01",27,1,40
"252","ascheco01",25,129,NA
"253","ascheco01",26,71,129
"254","ascheco01",27,19,71
"255","ashlene01",30,12,NA
"256","astudwi01",26,28,NA
"257","astudwi01",27,58,28
"258","astudwi01",29,68,58
"259","astudwi01",30,19,68
"260","asuajca01",24,7,NA
"261","asuajca01",25,89,7
"262","asuajca01",26,79,89
"263","austity01",24,31,NA
"264","austity01",25,20,31
"265","austity01",26,69,20
"266","austity01",27,89,69
"267","aveliab01",23,6,NA
"268","aveliab01",24,4,6
"269","avilaal01",28,67,NA
"270","avilaal01",29,57,67
"271","avilaal01",30,112,57
"272","avilaal01",31,79,112
"273","avilaal01",32,61,79
"274","avilaal01",34,34,61
"275","avilemi01",34,98,NA
"276","avilemi01",35,68,98
"277","avilemi01",36,37,68
"278","aybarer01",31,156,NA
"279","aybarer01",32,126,156
"280","aybarer01",33,106,126
"281","azocajo01",26,98,NA
"282","azocajo01",27,55,98
"283","baddoak01",22,124,NA
"284","baddoak01",23,73,124
"285","baddoak01",24,112,73
"286","baderha01",23,32,NA
"287","baderha01",24,138,32
"288","baderha01",25,128,138
"289","baderha01",27,103,128
"290","baderha01",28,86,103
"291","baderha01",29,98,86
"292","baeji01",22,10,NA
"293","baeji01",23,111,10
"294","baezja01",22,28,NA
"295","baezja01",23,142,28
"296","baezja01",24,145,142
"297","baezja01",25,160,145
"298","baezja01",26,138,160
"299","baezja01",28,138,138
"300","baezja01",29,144,138
"301","baezja01",30,136,144
"302","bailepa01",24,97,NA
"303","bakerje03",34,41,NA
"304","bakerlu01",26,33,NA
"305","bandyje01",25,2,NA
"306","bandyje01",26,70,2
"307","bandyje01",27,60,70
"308","bandyje01",28,24,60
"309","bannory01",26,5,NA
"310","bannory01",27,2,5
"311","barmecl01",36,98,NA
"312","barneau01",25,20,NA
"313","barneau01",26,21,20
"314","barneau01",27,102,21
"315","barneau01",28,100,102
"316","barneau01",29,75,100
"317","barneau01",31,77,75
"318","barneau01",32,62,77
"319","barneau01",33,59,62
"320","barnebr02",29,106,NA
"321","barnebr02",30,48,106
"322","barnebr02",32,19,48
"323","barneda01",29,17,NA
"324","barneda01",30,103,17
"325","barneda01",31,129,103
"326","barnhtu01",24,81,NA
"327","barnhtu01",25,115,81
"328","barnhtu01",26,121,115
"329","barnhtu01",27,138,121
"330","barnhtu01",28,114,138
"331","barnhtu01",30,116,114
"332","barnhtu01",31,93,116
"333","barnhtu01",32,39,93
"334","baronst01",24,4,NA
"335","baronst01",27,2,4
"336","baronst01",28,7,2
"337","barrefr02",21,25,NA
"338","barrefr02",22,32,25
"339","barrefr02",23,23,32
"340","barrelu01",25,6,NA
"341","barrelu01",26,32,6
"342","barretr01",24,2,NA
"343","barretr01",26,30,2
"344","barretr01",27,19,30
"345","barretr01",28,6,19
"346","bartjo01",24,2,NA
"347","bartjo01",25,97,2
"348","bartjo01",26,30,97
"349","basabos01",22,31,NA
"350","battema01",27,13,NA
"351","battema01",28,43,13
"352","batybr01",22,11,NA
"353","batybr01",23,108,11
"354","bauerja01",22,96,NA
"355","bauerja01",23,117,96
"356","bauerja01",25,115,117
"357","bauerja01",27,84,115
"358","bautijo02",34,153,NA
"359","bautijo02",35,116,153
"360","bautijo02",36,157,116
"361","bautijo02",37,122,157
"362","bautira01",24,17,NA
"363","bautira01",25,9,17
"364","baxtemi01",30,34,NA
"365","beatyma01",26,99,NA
"366","beatyma01",28,120,99
"367","beatyma01",29,20,120
"368","beatyma01",30,29,20
